property,city,area,category,rating,price
شاليه بجلسة خارجية على المسبح , الرياض - حي الرمال, مساحة الوحدة 1200 م2, مخصص لل عوائل و عزاب,0,"1,200"
مخيم بجلسة خارجية وبيت شعر , الرياض - حي الثمامة, مساحة الوحدة 10000 م2, مخصص لل عوائل و عزاب,0,495
فيلا بغرفة جلوس وغرف نوم , الرياض - حي الروضة, مساحة الوحدة 250 م2, مخصص لل عوائل فقط,0,"2,500"
فيلا بثلاث غرف نوم وصالة , الرياض - حي الروضة, مساحة الوحدة 250 م2, مخصص لل عوائل فقط,0,"2,500"
فيلا مودرن بجلسات مشتركة , الرياض - حي الروضة, مساحة الوحدة 250 م2, مخصص لل عوائل فقط,0,"2,500"
فيلا بثلاث غرف نوم وصالة , الرياض - حي الروضة, مساحة الوحدة 250 م2, مخصص لل عوائل فقط,0,"2,500"
فيلابإطلالة على الحديقة الخارجية, الرياض - حي الروضة, مساحة الوحدة 250 م2, مخصص لل عوائل فقط,0,"2,500"
فيلا مودرن بجلسات مشتركة , الرياض - حي الروضة, مساحة الوحدة 250 م2, مخصص لل عوائل فقط,0,"2,500"
فيلا بثلاث غرف نوم وصالة , الرياض - حي الروضة, مساحة الوحدة 250 م2, مخصص لل عوائل فقط,0,"2,500"
فيلا بغرفة جلوس وغرف نوم , الرياض - حي الروضة, مساحة الوحدة 250 م2, مخصص لل عوائل فقط,0,"2,500"
فيلابإطلالة على الحديقة الخارجية, الرياض - حي الروضة, مساحة الوحدة 250 م2, مخصص لل عوائل فقط,0,"2,500"
مخيم بألعاب أطفال وبروجكتر , الرياض - حي الثمامة, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,0,"1,000"
مخيم ببيت شعر  وألعاب أطفال, الرياض - حي الطوقي, مساحة الوحدة 20000 م2, مخصص لل عوائل فقط,0,"1,800"
مخيم بألعاب أطفال وبيت شعر , الرياض - حي الثمامة, مساحة الوحدة 5000 م2, مخصص لل عوائل و عزاب,0,"1,600"
مخيم ببيت شعر ملكي, الرياض - ضرما-العارضية, مساحة الوحدة 7000 م2, مخصص لل عوائل و عزاب,0,"1,100"
مخيم بمسطح اخضر, الرياض - ضرما-العارضية, مساحة الوحدة 2500 م2, مخصص لل عوائل و عزاب,0,900
مخيم ببيت شعر, الرياض - ضرما-العارضية, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,0,400
شاليه بجاكوزي , الرياض - حي القيروان, مساحة الوحدة 300 م2, مخصص لل عوائل و عزاب,8.5,700
شاليه بألعاب أطفال و جلسة خارجية , الرياض - حي بنبان, مساحة الوحدة 750 م2, مخصص لل عوائل فقط,8.4,600
شاليه بجلسة خارجية ومسبح, الرياض - حي الرمال, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,8.8,600
شاليه بمسبح وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,8.8,600
شاليه صاله مع مسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,8.2,300
شاليه بركن شواء ومسبح , الرياض - حي الرمال, مساحة الوحدة 410 م2, مخصص لل عوائل و عزاب,9.7,700
شاليه بصاله مع مطبخ وغرفة نوم, الرياض - حي الرمال, مساحة الوحدة 250 م2, مخصص لل عوائل و عزاب,7.8,450
شاليه بسطح اخضر و ركن شواء, الرياض - حي ضاحية نمار, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,9.9,500
مخيم بجلسة عريش وألعاب أطفال, الرياض - حي الطوقي, مساحة الوحدة 20000 م2, مخصص لل عوائل و عزاب,10,"1,500"
شاليه بمسبح داخلي و جلسة خارجية , الرياض - حي بنبان, مساحة الوحدة 350 م2, مخصص لل عوائل و عزاب,8.3,350
شاليه بمسطح اخضر و مسبح خارجي, الرياض - حي العارض, مساحة الوحدة 425 م2, مخصص لل عوائل و عزاب,5.5,"1,700"
شاليه بجلسة مطلة على العاب مائية, الرياض - حي ضاحية نمار, مساحة الوحدة 350 م2, مخصص لل عوائل و عزاب,9.9,450
مخيم  بجلسة خارجية وبيت شعر , الرياض - حي الخير, مساحة الوحدة 7000 م2, مخصص لل عوائل و عزاب,0,800
شاليه بجلسة خارجية وبروجكتر , الرياض - حي الملقا, مساحة الوحدة 700 م2, مخصص لل عوائل و عزاب,0,"2,000"
شاليه بصالة مطلة على المسبح , الرياض - حي المناخ, مساحة الوحدة 148 م2, مخصص لل عوائل و عزاب,0,500
مخيم بجلسة عريش وبيت شعر , الرياض - حي الثمامة, مساحة الوحدة 4250 م2, مخصص لل عوائل و عزاب,0,500
مخيم بجلسة خارجية وبروجكتر , الرياض - حي الثمامة, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,0,"1,000"
مخيم ببيت شعر  وبروجكتر , الرياض - حي ديراب, مساحة الوحدة 5000 م2, مخصص لل عوائل و عزاب,0,840
